rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardsAeon,rewardUnit,buyTxCount,sellTxCount,totalTxCount
82,0x9144bb94b32c690ab82903fe76a5565eec4fd242,0x9144...d242,25919.013226153824202928,-109.373143100215751470,2260,AEON,40,36,76
83,0x79b99fe2425b904db584d5a670bab63b93df48f8,0x79b9...48f8,25860.341674657032134486,-109.428325342967844231,2260,AEON,48,50,98
84,0x1dc84f99dfc2d06192f68bea55a6a6e61ea63810,0x1dc8...3810,25371.646182700981862897,-105.540045493073549631,2260,AEON,25,25,50
85,0x3fa9d1c2a8828600128409b3d8e5e2ac30c0bf77,0x3fa9...bf77,25065.960596497480307247,-105.179403502519698201,2260,AEON,,,
86,0x81bb2f2ae24b93a80140e786be10893d35ae21b2,0x81bb...21b2,24469.809252265720469018,-101.678747734279524944,2260,AEON,77,74,151
87,0xf1b9c1cdb3ec51e610584d768f57e5c66078ef0f,0xf1b9...ef0f,24469.626153061235450193,-101.945846938764548299,2260,AEON,,,
88,0x18f6e61cb50bac655cf18b11deaa4068f7b837c0,0x18f6...37c0,24467.109482018827008665,-104.240517981173004591,2260,AEON,,,
89,0xcc0738927903480399d70ed4056e67f3ff25cfb5,0xcc07...cfb5,24414.163901402112523415,-104.458289067077715817,2260,AEON,,,
90,0x0262a76f99bdb919ada886c47f9c49d5811ca363,0x0262...a363,24316.973868584277936177,-100.850945530691463849,2260,AEON,,,
91,0xe913e59c1528a2b5e433afa7ff66e918bc352cda,0xe913...2cda,24312.702408029716638538,-101.290307456106671444,2260,AEON,,,
92,0x89a7af7711be437dc1b0039ce2ec47ba785fbb9a,0x89a7...bb9a,24164.367838879873822939,-104.570570240329393156,2260,AEON,,,
93,0x1c32fc9992b79abde1d17b64be1ab7ab0ce7a6df,0x1c32...a6df,24065.022600366922421592,-98.753399633077583113,2260,AEON,,,
94,0x1a9bb97303b7189bb7d97e0e824876f05f84b65c,0x1a9b...b65c,23894.408036089304178634,-91.294977401678582214,2260,AEON,,,
95,0x0bd7e50ece1a1ee76e96acf17ddc1b53a433eda8,0x0bd7...eda8,23879.988366799655698620,-105.997664241322292072,2260,AEON,,,
96,0x5178eb6e6ab0b6842d3b06d3b93e1a08d1d0db0a,0x5178...db0a,23878.383663485079211767,-99.046336514920789495,2260,AEON,,,
97,0x7431dce836c479c63721bf5ef9a29bb9971be813,0x7431...e813,23876.271208205228529957,-97.670791794771469647,2260,AEON,76,74,150
98,0x4c53b5be3c23943e322319162a541d3750f7bd25,0x4c53...bd25,23872.050428470802126387,-99.305571529197879898,2260,AEON,82,74,156
99,0x46800eb145fa7616a86cb0e7020da8c1e3ec8f7e,0x4680...8f7e,23673.216256975070342165,-99.373743024929645782,2260,AEON,51,54,105
100,0x0c8080906a225c5b2d1ad48990ba6cb14681dfe7,一方,23666.651616363495874899,-100.014432763631562511,2260,AEON,73,72,145
